mus_triL_hum_ax.Xma,mus_triL_hum_ax.Yma,mus_triL_hum_ax.Zma,mus_triL_scap_ax.Xma,mus_triL_scap_ax.Yma,mus_triL_scap_ax.Zma
1.971058862,0.8437424907,0.4893666543,1.971058862,0.8437424907,0.4893666543
1.971058862,0.8437424907,0.4893666543,1.971058862,0.8437424907,0.4893666543
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
1.719301879,0.9650825957,-0.6192541676,1.333626896,1.621055776,0.01170890242
1.732757973,0.9691834915,-0.5973900614,1.311475751,1.639267661,-0.002213470741
1.747737905,0.9748136192,-0.5730404368,1.295347359,1.654165605,-0.01284860335
1.76383338,0.9813067085,-0.5432106728,1.286462198,1.665279979,-0.01959164194
1.780619702,0.9878132079,-0.5062405466,1.285195703,1.672411515,-0.0222399093
1.797674381,0.9935508683,-0.4622503492,1.29091108,1.675670643,-0.02106809034
1.814592485,0.9980214983,-0.4130049922,1.302096032,1.675496663,-0.01678202033
1.831001517,1.001117275,-0.3613053686,1.316744182,1.672624335,-0.01036460739
1.84657108,1.003079848,-0.3101461852,1.332840919,1.667963188,-0.002854878038
1.861021874,1.004338982,-0.2619370509,1.348779612,1.662405647,0.004867662225
1.874139662,1.005314653,-0.2180346347,1.363576338,1.656648429,0.01221868718
1.885792859,1.006269068,-0.1786858224,1.37685559,1.651105719,0.01893022559
1.895943047,1.007259918,-0.1433196972,1.388672912,1.645932417,0.02497608991
1.904637531,1.00818296,-0.1110302009,1.3992715,1.641124367,0.0304496181
1.911986408,1.008864065,-0.08107759528,1.408857298,1.636644568,0.0354399834
1.918135665,1.009159578,-0.0532656944,1.417438723,1.632531445,0.03993875076
1.923246798,1.009033242,-0.02808904868,1.424767094,1.628960076,0.04379848476
1.927474331,1.008581885,-0.006596378084,1.430394552,1.626226907,0.04675954827
1.930928084,1.007992815,0.01000008476,1.433848227,1.624648703,0.04854665102
1.933626442,1.007445414,0.02083461997,1.434863884,1.624405693,0.04900496079
1.935480736,1.007015487,0.02580707354,1.433575739,1.625411754,0.04821147195
1.936348913,1.006649159,0.02571371259,1.430554302,1.627300448,0.04649353318
1.93614216,1.006230933,0.02200746752,1.426650454,1.62955569,0.04433011456
1.93491296,1.005699311,0.0162651156,1.422704445,1.631726606,0.04217645918
1.932857979,1.005131984,0.009554741894,1.419241918,1.633623685,0.04028903999
1.930237914,1.004756323,0.001918363792,1.416269744,1.635428243,0.03861532914
1.927278923,1.004890555,-0.007863932552,1.41323327,1.637690943,0.03677791143
1.92410711,1.005840249,-0.02213464784,1.409146888,1.641219681,0.03415816604
1.920717854,1.007770608,-0.04384309316,1.402869305,1.64686056,0.0300666586
1.916950899,1.01058912,-0.07577509593,1.393442566,1.655221997,0.02395593864
1.912461246,1.013896438,-0.1197639545,1.380376697,1.666439615,0.01559921015
1.906708092,1.017058282,-0.1761419822,1.363773607,1.680089546,0.005164042443
